Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770622084,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622085,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622086,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622087,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622088,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622089,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622090,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622091,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622092,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622093,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
1770622094,10,,Aggregated,2.666667,0.000000,510,610,700,720,780,860,860,860,860,860,860,20,0,500.0,561.6814599990903,367.3523000034038,858.9407999970717,120.0
